frame_id,time_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,cx,cy,foot_x,foot_y
4,0.4,19,2,car,0.58825254,759.90216,227.92682,798.822,265.0136,779.36206,246.47021,779.36206,265.0136
4,0.4,20,0,person,0.27384853,291.06216,336.09244,310.89706,371.45764,300.9796,353.77502,300.9796,371.45764
4,0.4,21,2,car,0.49725947,444.80646,211.39905,483.44888,243.62138,464.1277,227.51022,464.1277,243.62138
4,0.4,23,2,car,0.38686824,785.86707,265.84854,824.97076,303.51953,805.41895,284.68402,805.41895,303.51953
4,0.4,16,2,car,0.5583831,736.18604,264.69775,772.4823,307.6874,754.33417,286.19257,754.33417,307.6874
5,0.5,1,2,car,0.8702336,250.17526,624.8426,447.43213,708.6153,348.8037,666.72894,348.8037,708.6153
5,0.5,2,2,car,0.8751699,539.1337,521.47595,702.39545,601.6905,620.7646,561.58325,620.7646,601.6905
5,0.5,3,2,car,0.86890715,215.10197,523.57074,369.4949,590.4722,292.29843,557.0215,292.29843,590.4722
5,0.5,4,2,car,0.83334804,490.26636,443.80087,650.52264,529.10223,570.39453,486.45154,570.39453,529.10223
5,0.5,5,2,car,0.57320464,2.1291702,440.5629,122.08288,504.2153,62.106026,472.3891,62.106026,504.2153
5,0.5,6,2,car,0.82700545,28.150524,657.7179,129.40327,719.6415,78.7769,688.6797,78.7769,719.6415
5,0.5,7,2,car,0.6272516,738.67163,331.5432,790.1107,375.1028,764.3912,353.323,764.3912,375.1028
5,0.5,8,2,car,0.6015239,799.24524,385.5151,881.9147,444.5253,840.57996,415.0202,840.57996,444.5253
5,0.5,9,2,car,0.6425033,799.12195,314.83588,848.53204,363.17462,823.827,339.00525,823.827,363.17462
5,0.5,10,2,car,0.59620357,428.84384,318.0882,482.26624,372.28668,455.55505,345.18744,455.55505,372.28668
5,0.5,11,2,car,0.53739583,361.31375,321.3316,414.2457,375.44226,387.77972,348.38693,387.77972,375.44226
5,0.5,12,2,car,0.58443993,396.10684,283.06314,452.45547,335.47406,424.28116,309.26862,424.28116,335.47406
5,0.5,14,2,car,0.4444551,445.78168,249.35196,478.94562,282.35455,462.36365,265.85327,462.36365,282.35455
5,0.5,17,2,car,0.37271556,461.7698,285.96542,507.66705,321.7677,484.71844,303.86658,484.71844,321.7677
5,0.5,18,2,car,0.33764413,493.28174,237.22475,539.7498,290.62717,516.51575,263.92596,516.51575,290.62717
5,0.5,19,2,car,0.578471,759.81,226.73889,798.6577,263.61902,779.2339,245.17896,779.2339,263.61902
5,0.5,20,0,person,0.27665445,291.07117,336.07742,310.956,371.53842,301.01358,353.80792,301.01358,371.53842
5,0.5,21,2,car,0.568736,443.509,212.26398,483.12186,245.33015,463.31543,228.79706,463.31543,245.33015
5,0.5,23,2,car,0.3625359,785.1945,264.44193,824.6173,302.4535,804.9059,283.4477,804.9059,302.4535
5,0.5,16,2,car,0.60480595,735.92346,262.80948,772.97577,306.35117,754.4496,284.58032,754.4496,306.35117
5,0.5,13,2,car,0.39313596,668.70374,359.5918,762.08276,440.69943,715.39325,400.14563,715.39325,440.69943
6,0.6,1,2,car,0.8735632,259.6117,622.87573,457.4044,707.07574,358.50806,664.9757,358.50806,707.07574
6,0.6,2,2,car,0.8829363,546.36646,519.27795,708.18024,599.16406,627.2733,559.221,627.2733,599.16406
6,0.6,3,2,car,0.87139577,222.08586,521.55756,378.2521,589.2338,300.16898,555.3957,300.16898,589.2338
6,0.6,4,2,car,0.8306666,496.7875,441.49994,655.7872,526.7981,576.28735,484.14902,576.28735,526.7981
6,0.6,5,2,car,0.6517149,0.54937863,442.77618,117.08796,504.44702,58.81867,473.6116,58.81867,504.44702
6,0.6,6,2,car,0.83232796,30.580246,656.8859,136.65231,719.5038,83.61628,688.1948,83.61628,719.5038
6,0.6,7,2,car,0.61991906,739.3403,330.13937,790.01746,373.18277,764.67883,351.66107,764.67883,373.18277
6,0.6,8,2,car,0.6028677,801.27155,382.55136,882.46344,441.0525,841.8675,411.80194,841.8675,441.0525
6,0.6,9,2,car,0.6253727,798.41095,312.25507,848.1864,361.08835,823.2987,336.6717,823.2987,361.08835
6,0.6,10,2,car,0.594194,429.2641,318.68588,482.25507,372.37485,455.75958,345.53036,455.75958,372.37485
6,0.6,11,2,car,0.5077647,361.2568,321.27942,414.2008,375.44794,387.72882,348.36368,387.72882,375.44794
6,0.6,12,2,car,0.56366336,396.16205,282.96548,452.382,335.3263,424.27203,309.14587,424.27203,335.3263
6,0.6,14,2,car,0.4571037,446.05847,249.58647,478.71765,282.00946,462.38806,265.79797,462.38806,282.00946
6,0.6,17,2,car,0.34596756,461.7747,286.00027,507.7517,321.84207,484.76318,303.92117,484.76318,321.84207
6,0.6,18,2,car,0.31853494,493.30643,237.26138,539.6892,290.559,516.4978,263.9102,516.4978,290.559
6,0.6,19,2,car,0.52985585,760.5579,225.72849,798.78467,262.02997,779.67126,243.87923,779.67126,262.02997
6,0.6,20,0,person,0.27988443,291.09766,336.0229,310.98505,371.4953,301.04135,353.7591,301.04135,371.4953
6,0.6,21,2,car,0.6147733,443.16632,212.51608,482.82465,245.64406,462.99548,229.08008,462.99548,245.64406
6,0.6,23,2,car,0.41218793,784.25323,263.94223,822.9228,301.26926,803.588,282.60574,803.588,301.26926
6,0.6,16,2,car,0.5489009,736.5424,262.4064,773.2377,305.0401,754.89,283.72327,754.89,305.0401
6,0.6,13,2,car,0.3141695,670.8914,356.0536,765.4018,438.82874,718.1466,397.44116,718.1466,438.82874
7,0.7,1,2,car,0.8437622,279.39975,618.7821,478.2464,703.7555,378.82306,661.2688,378.82306,703.7555
7,0.7,2,2,car,0.88966805,557.7886,511.87076,722.09406,593.7406,639.9413,552.80566,639.9413,593.7406
7,0.7,3,2,car,0.8797694,238.09605,518.90405,395.05972,586.90515,316.57788,552.9046,316.57788,586.90515
7,0.7,4,2,car,0.8054432,509.79547,439.4857,662.0322,521.6266,585.9138,480.55615,585.9138,521.6266
7,0.7,5,2,car,0.46542248,0.0,447.28275,106.723885,504.17615,53.361942,475.72943,53.361942,504.17615
7,0.7,6,2,car,0.8428967,36.534325,655.86115,150.08208,719.8543,93.3082,687.8577,93.3082,719.8543
7,0.7,7,2,car,0.6579095,740.23975,327.4086,790.7649,370.5573,765.5023,348.98297,765.5023,370.5573
7,0.7,8,2,car,0.5502613,800.76733,376.5711,881.9559,435.85193,841.3616,406.21152,841.3616,435.85193
7,0.7,9,2,car,0.69151586,798.6694,309.67053,846.16376,356.1353,822.41656,332.90292,822.41656,356.1353
7,0.7,10,2,car,0.63181055,429.5002,319.1898,482.0896,372.3887,455.79492,345.78925,455.79492,372.3887
7,0.7,11,2,car,0.5480885,361.23434,321.29956,414.09396,375.43625,387.66415,348.36792,387.66415,375.43625
7,0.7,12,2,car,0.60153055,396.36768,283.0743,452.2598,335.20493,424.31372,309.13962,424.31372,335.20493
7,0.7,14,2,car,0.47658163,445.9824,249.64043,478.63467,281.96625,462.30853,265.80334,462.30853,281.96625
7,0.7,17,2,car,0.4183846,461.81192,286.0171,507.71106,321.77896,484.76147,303.898,484.76147,321.77896
7,0.7,18,2,car,0.33995855,493.44037,237.4112,539.7341,290.61716,516.5872,264.01416,516.5872,290.61716
7,0.7,19,2,car,0.49961704,760.36237,225.5889,797.6132,260.7243,778.9878,243.1566,778.9878,260.7243
7,0.7,20,0,person,0.283314,291.0402,336.09036,310.95187,371.61945,300.99603,353.85492,300.99603,371.61945
7,0.7,21,2,car,0.5511352,441.2395,214.20027,480.68982,247.1898,460.96466,230.69504,460.96466,247.1898
7,0.7,23,2,car,0.42182332,784.266,262.65378,822.4836,299.55826,803.37476,281.10602,803.37476,299.55826
7,0.7,16,2,car,0.56539166,735.69806,259.75354,772.9614,302.75363,754.3297,281.2536,754.3297,302.75363
7,0.7,13,7,truck,0.36129192,677.4431,351.46432,769.8395,433.33264,723.6413,392.3985,723.6413,433.33264
8,0.8,1,2,car,0.8493618,289.15027,612.69495,495.60202,701.6119,392.37616,657.15344,392.37616,701.6119
8,0.8,2,2,car,0.88272315,568.0889,507.2315,730.9543,588.9864,649.5216,548.10895,649.5216,588.9864
8,0.8,3,2,car,0.8643817,249.98015,517.06805,406.5129,584.89575,328.24652,550.98193,328.24652,584.89575
8,0.8,4,2,car,0.8067607,520.6918,438.80325,666.2591,517.7735,593.47546,478.2884,593.47546,517.7735
8,0.8,5,2,car,0.3551854,0.0,449.3098,101.06833,504.2272,50.534164,476.7685,50.534164,504.2272
8,0.8,6,2,car,0.86085427,38.79719,654.7733,160.14977,719.9824,99.47348,687.37787,99.47348,719.9824
8,0.8,7,2,car,0.58908194,740.49243,325.81757,790.38116,368.67697,765.43677,347.24725,765.43677,368.67697
8,0.8,8,2,car,0.52694964,801.31775,373.32452,884.6183,435.08575,842.968,404.20514,842.968,435.08575
8,0.8,9,2,car,0.6436234,797.8977,307.3502,845.1441,353.5525,821.5209,330.45135,821.5209,353.5525
8,0.8,10,2,car,0.63129973,429.21844,318.85657,482.02472,372.27618,455.62158,345.56638,455.62158,372.27618
8,0.8,11,2,car,0.570617,361.32547,321.3001,414.1001,375.39508,387.71277,348.3476,387.71277,375.39508
8,0.8,12,2,car,0.6061576,396.41644,283.19547,452.09888,335.19266,424.25766,309.19406,424.25766,335.19266
8,0.8,14,2,car,0.45720693,446.38525,250.29982,478.43628,281.85342,462.41077,266.07663,462.41077,281.85342
8,0.8,17,2,car,0.4280253,461.84308,285.968,507.87918,321.82434,484.86115,303.89618,484.86115,321.82434
8,0.8,18,2,car,0.40533978,493.47598,237.63092,539.6684,290.7128,516.5722,264.17188,516.5722,290.7128
8,0.8,19,2,car,0.49941728,760.3592,225.16797,797.4799,260.00967,778.91956,242.58882,778.91956,260.00967
8,0.8,20,0,person,0.27551836,291.0045,336.12137,310.91617,371.65784,300.96033,353.8896,300.96033,371.65784
8,0.8,21,2,car,0.60413325,439.9676,214.38307,480.54028,248.37444,460.25394,231.37875,460.25394,248.37444
8,0.8,23,2,car,0.34098187,784.38605,261.94724,821.98444,298.263,803.18524,280.1051,803.18524,298.263
8,0.8,16,2,car,0.5332013,735.6974,258.3811,773.13184,301.20688,754.4146,279.794,754.4146,301.20688
8,0.8,13,2,car,0.47605154,681.7958,349.93546,770.64886,429.53098,726.2223,389.73322,726.2223,429.53098
8,0.8,29,2,car,0.30331635,380.879,262.249,427.87057,300.28723,404.3748,281.26813,404.3748,300.28723
9,0.9,1,2,car,0.85982805,305.85712,608.9492,512.0828,698.5354,408.96997,653.7423,408.96997,698.5354
9,0.9,2,2,car,0.87960035,582.2361,503.41467,740.1383,583.1588,661.1872,543.28674,661.1872,583.1588
9,0.9,3,2,car,0.85601795,264.4355,514.46045,420.78357,582.205,342.60953,548.33276,342.60953,582.205
9,0.9,4,2,car,0.83203024,533.54126,435.40622,675.0854,512.58887,604.31335,473.99756,604.31335,512.58887
9,0.9,5,2,car,0.27801913,0.0,449.72162,93.49611,502.8857,46.748055,476.30365,46.748055,502.8857
9,0.9,6,2,car,0.87880754,50.544617,654.09595,179.00429,720.0,114.77445,687.048,114.77445,720.0
9,0.9,7,2,car,0.5804496,740.47925,322.09396,790.0069,364.9188,765.24304,343.50638,765.24304,364.9188
9,0.9,8,2,car,0.37526482,804.2515,369.53085,878.1559,424.9272,841.20374,397.229,841.20374,424.9272
9,0.9,9,2,car,0.5296265,797.70746,304.29926,843.76355,349.18552,820.7355,326.74237,820.7355,349.18552
9,0.9,10,2,car,0.6288917,429.41888,319.31482,481.86127,372.29474,455.64008,345.80478,455.64008,372.29474
9,0.9,11,2,car,0.5685003,361.46478,321.24948,414.23724,375.3654,387.851,348.30743,387.851,375.3654
9,0.9,12,2,car,0.6011919,396.4122,283.30804,451.92456,335.20264,424.1684,309.25534,424.1684,335.20264
9,0.9,14,2,car,0.44138286,446.44687,250.17842,478.70578,281.7731,462.57632,265.97577,462.57632,281.7731
